scenario,timestamp,ip_address,port,file_action,storage_path,file_name,transfer_start_time,transfer_end_time,transfer_time,message
High Performance Network,2022-12-09 09:11:35.936676,47.215.130.247,14963,Upload,ab165b60-29b4-4d39-9299-eb1cfbb23a23,34460647.pdf,1670577074.119319,1670577095.9364774,21.817158460617065,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:12:15.233790,47.215.130.247,14963,Upload,f911b47e-f182-43d0-b915-771f5248247c,34460647.pdf,1670577113.323856,1670577135.2336469,21.909790754318237,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:12:57.101898,47.215.130.247,14963,Upload,d1597322-f2cc-45a7-8581-2521e6c28d97,34460647.pdf,1670577154.2342117,1670577177.101753,22.867541313171387,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:13:36.072183,47.215.130.247,14963,Upload,1739f64a-7e64-4ed7-9b53-48f354262298,34460647.pdf,1670577193.4910154,1670577216.072037,22.581021547317505,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:14:18.623714,47.215.130.247,14963,Upload,24b7c820-d69a-449d-8c17-adb63823285d,34460647.pdf,1670577236.7937193,1670577258.6235683,21.829849004745483,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:15:48.821047,47.215.130.247,14963,Download,9da93678-e2d7-4a95-810d-66ccf7e6752a,34460647.pdf,1670577327.4436214,1670577348.8209052,21.377283811569214,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:16:17.134755,47.215.130.247,14963,Download,9da93678-e2d7-4a95-810d-66ccf7e6752a,34460647.pdf,1670577365.7390451,1670577377.134604,11.395558834075928,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:16:39.314222,47.215.130.247,14963,Download,9da93678-e2d7-4a95-810d-66ccf7e6752a,34460647.pdf,1670577386.2897887,1670577399.3140824,13.024293661117554,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:17:12.127151,47.215.130.247,14963,Download,9da93678-e2d7-4a95-810d-66ccf7e6752a,34460647.pdf,1670577411.2192788,1670577432.1270056,20.907726764678955,TRANSFER COMPLETED
High Performance Network,2022-12-09 09:19:44.032727,47.215.130.247,15212,Download,36a981b8-cd12-4a89-816e-782a5489bd3e,34460647.pdf,1670577569.9396021,1670577584.0325716,14.092969417572021,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:27:19.899925,47.215.130.247,15265,Upload,bdb70760-dc0e-42fc-b1b5-671e8f68d0c1,34460647.pdf,1670577918.45427,1670578039.899775,121.44550514221191,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:29:47.194884,47.215.130.247,15265,Upload,79cf4da4-0f73-4e60-9cb0-5cca6114cba3,34460647.pdf,1670578066.49331,1670578187.194739,120.70142912864685,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:32:22.958191,47.215.130.247,15265,Upload,d0b01027-649a-4326-aedd-fa219e696dc6,34460647.pdf,1670578221.2709339,1670578342.9580472,121.6871132850647,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:34:50.624282,47.215.130.247,15265,Upload,50095ba7-23e8-4b14-a682-b77390966452,34460647.pdf,1670578369.0650458,1670578490.6241388,121.55909299850464,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:39:13.344642,47.215.130.247,15265,Upload,fd0073a6-7d63-47ee-9965-9c4a95922083,34460647.pdf,1670578632.7480922,1670578753.344494,120.59640192985535,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:52:44.459289,47.215.130.247,15591,Download,fd0073a6-7d63-47ee-9965-9c4a95922083,34460647.pdf,1670579477.2306757,1670579564.4591377,87.2284619808197,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:55:15.951154,47.215.130.247,15632,Download,fd0073a6-7d63-47ee-9965-9c4a95922083,34460647.pdf,1670579624.7560422,1670579715.9510026,91.19496035575867,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:57:46.586404,47.215.130.247,15632,Download,fd0073a6-7d63-47ee-9965-9c4a95922083,34460647.pdf,1670579799.6885417,1670579866.586221,66.89767932891846,TRANSFER COMPLETED
Long Fat Network,2022-12-09 09:59:53.458805,47.215.130.247,15871,Download,fd0073a6-7d63-47ee-9965-9c4a95922083,34460647.pdf,1670579920.2604282,1670579993.4586575,73.19822931289673,TRANSFER COMPLETED
Long Fat Network,2022-12-09 10:02:59.744150,47.215.130.247,15871,Download,fd0073a6-7d63-47ee-9965-9c4a95922083,34460647.pdf,1670580093.16468,1670580179.7440033,86.57932329177856,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 10:05:26.947476,47.215.130.247,15871,Upload,8515526c-24f0-40c4-8fca-aa108090b6b9,34460647.pdf,1670580303.5659134,1670580326.9473336,23.381420135498047,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 10:06:16.853940,47.215.130.247,15871,Upload,bcf2b691-385f-4852-920c-238697dadf62,34460647.pdf,1670580353.012407,1670580376.8537903,23.84138321876526,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 10:07:03.430902,47.215.130.247,15871,Upload,d44327b4-09a8-4c41-a3de-123b75282328,34460647.pdf,1670580401.3529332,1670580423.4307566,22.077823400497437,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 10:07:51.296100,47.215.130.247,15871,Upload,6880f9c5-f315-466d-9994-758517fa2dfb,34460647.pdf,1670580448.6897464,1670580471.2959282,22.606181859970093,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 10:08:32.863144,47.215.130.247,15871,Upload,bec04670-7dba-4851-96d5-2ed16fbd8e91,34460647.pdf,1670580487.755762,1670580512.8629966,25.107234477996826,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 10:12:56.216934,47.215.130.247,16068,Download,8515526c-24f0-40c4-8fca-aa108090b6b9,34460647.pdf,1670580764.201867,1670580776.216789,12.01492190361023,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 20:43:27.557250,134.114.101.50,11584,Download,6880f9c5-f315-466d-9994-758517fa2dfb,34460647.pdf,1670618596.7816854,1670618607.5526972,10.77101182937622,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 21:13:32.817655,134.114.101.50,11858,Download,6880f9c5-f315-466d-9994-758517fa2dfb,34460647.pdf,1670620393.4678614,1670620412.8175025,19.34964108467102,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 21:15:59.686549,134.114.101.50,11858,Download,6880f9c5-f315-466d-9994-758517fa2dfb,34460647.pdf,1670620543.990207,1670620559.686427,15.69622015953064,TRANSFER COMPLETED
Low Loss Rate,2022-12-09 21:17:06.566276,134.114.101.50,3494,Download,6880f9c5-f315-466d-9994-758517fa2dfb,34460647.pdf,1670620615.98505,1670620626.566144,10.581094026565552,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:26:27.445701,134.114.101.50,3592,Upload,12a4030c-a29d-4bdf-9ff9-9c9d5f9c9245,34460647.pdf,1670621149.7556186,1670621187.445463,37.689844369888306,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:27:27.663029,134.114.101.50,3592,Upload,a595908f-a898-433b-9d8b-d75041789fb0,34460647.pdf,1670621218.36835,1670621247.662891,29.294540882110596,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:28:31.660222,134.114.101.50,3592,Upload,df16bc36-bc4d-4453-88a3-a3c6c83557db,34460647.pdf,1670621273.9511223,1670621311.6600847,37.70896244049072,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:29:43.397234,134.114.101.50,3592,Upload,fd641b53-a108-4f72-8604-afdb73d0b54c,34460647.pdf,1670621352.1751924,1670621383.397095,31.22190260887146,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:31:11.492060,134.114.101.50,3592,Upload,5cec6618-010b-45f1-ac2e-675b3c807743,34460647.pdf,1670621432.9235902,1670621471.49191,38.56831979751587,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:32:32.727267,134.114.101.50,3592,Download,5cec6618-010b-45f1-ac2e-675b3c807743,34460647.pdf,1670621514.2936423,1670621552.7271338,38.433491468429565,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:35:29.427915,134.114.101.50,3711,Download,5cec6618-010b-45f1-ac2e-675b3c807743,34460647.pdf,1670621682.501646,1670621729.4277954,46.92614936828613,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:37:52.455178,134.114.101.50,64368,Download,5cec6618-010b-45f1-ac2e-675b3c807743,34460647.pdf,1670621829.9153054,1670621872.4550498,42.53974437713623,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:39:35.122033,134.114.101.50,3825,Download,5cec6618-010b-45f1-ac2e-675b3c807743,34460647.pdf,1670621921.4249907,1670621975.1219037,53.69691300392151,TRANSFER COMPLETED
Medium Loss Rate,2022-12-09 21:41:44.748515,134.114.101.50,3876,Download,5cec6618-010b-45f1-ac2e-675b3c807743,34460647.pdf,1670622058.9890275,1670622104.7483852,45.75935769081116,TRANSFER COMPLETED
High Loss Rate,2022-12-09 21:44:35.876478,134.114.101.50,3919,Upload,c86fb0e5-06bb-4c2f-970e-062773936d70,34460647.pdf,1670622234.0794818,1670622275.8763092,41.79682731628418,TRANSFER COMPLETED
